Date,Time,RSSI(dB),RxBt(V),VFAS(V),Curr(A),mAh(mAh),Pwr(W),Rud,Ele,Thr,Ail,P1,P2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2025-03-20,15:46:39.270,96,5.6,12.31,0.0,0,0.0,-4,-5,-441,-10,-1019,746,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1494,1464,1280,1498,1494,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-03-20,15:46:39.720,105,5.6,12.28,0.4,0,4.9,-1,-34,-346,-4,-1018,746,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1493,1449,1327,1497,1493,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-03-20,15:46:40.220,103,5.6,12.20,2.7,0,32.9,-5,-77,-305,0,-1018,747,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1492,1428,1348,1499,1492,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-03-20,15:46:40.720,102,5.6,12.20,3.0,0,36.6,-72,-134,-192,-2,-1018,746,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1493,1399,1404,1532,1493,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-03-20,15:46:41.220,92,5.6,12.20,3.0,1,36.6,-19,-126,-192,2,-1018,746,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1492,1403,1404,1505,1492,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-03-20,15:46:41.720,97,5.6,12.14,4.6,1,55.8,-3,-212,-119,16,-1018,747,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1489,1360,1441,1498,1489,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-03-20,15:46:42.220,97,5.6,12.14,4.6,2,55.8,-2,-248,-70,4,-1018,746,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1491,1342,1465,1497,1491,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-03-20,15:46:42.720,93,5.6,12.08,6.8,3,82.1,-4,-307,-20,18,-1018,747,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1489,1313,1490,1498,1489,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-03-20,15:46:43.220,91,5.6,12.06,6.8,4,82.0,81,-366,43,40,-1018,746,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1484,1283,1521,1456,1484,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-03-20,15:46:43.720,87,5.6,12.05,9.0,5,108.4,113,-402,160,101,-1018,747,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1472,1265,1580,1440,1472,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-03-20,15:46:44.220,85,5.6,11.99,10.1,6,121.0,259,-413,214,259,-1018,746,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1436,1260,1607,1367,1436,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-03-20,15:46:44.720,81,5.6,11.95,10.1,8,120.6,269,-340,410,249,-1018,747,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1438,1296,1705,1362,1438,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-03-20,15:46:45.220,80,5.6,11.95,10.1,9,120.6,281,-418,794,260,-1018,746,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1435,1257,1897,1356,1435,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-03-20,15:46:45.720,76,5.6,11.80,14.8,11,174.6,328,-573,1023,215,-1018,747,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000C,1447,1180,2011,1332,1447,1091,988,988,1730,2012,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
