Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),RxBt(V),Curr(A),Capa(mAh),Bat(%),Alt(m),VSpd(m/s),Rud,Ele,Thr,Ail,P1,P2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2025-04-27,14:19:48.460,-29,-26,100,10,1,8,50,-25,100,11,8.5,0.0,0,0,0.6,0.0,-4,-1,-718,-6,-1024,-271,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1495,1477,1141,1498,2012,1490,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2025-04-27,14:19:48.890,-29,-26,100,10,1,8,50,-24,100,11,8.5,0.0,0,0,0.6,0.1,-4,-1,-719,-6,-1024,-271,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1495,1477,1141,1498,2012,1490,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2025-04-27,14:19:49.390,-28,-24,100,10,1,8,50,-31,100,9,8.5,0.0,0,0,0.6,0.1,-4,-1,-718,-45,-1024,-271,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1500,1477,1141,1495,2012,1500,1504,1502,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2025-04-27,14:19:49.890,-22,-31,100,10,0,8,50,-22,100,10,8.5,0.0,0,0,0.6,0.1,-3,0,-718,-10,-1024,-271,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1495,1477,1141,1498,2012,1491,1501,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2025-04-27,14:19:50.390,-22,-31,100,10,0,8,50,-24,100,11,8.5,0.0,0,0,0.6,0.1,-3,-2,-680,-10,-1024,-270,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1495,1478,1160,1498,2012,1491,1501,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2025-04-27,14:19:50.890,-19,-31,100,10,0,8,50,-23,100,10,8.5,0.0,0,0,0.6,0.1,37,-5,-577,-5,-1024,-271,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1495,1480,1212,1518,2012,1490,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2025-04-27,14:19:51.390,-19,-31,100,10,0,8,50,-27,100,11,8.5,0.0,0,0,0.6,0.1,-3,-3,-443,-31,-1024,-271,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1498,1484,1279,1497,2012,1496,1503,1501,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2025-04-27,14:19:51.890,-19,-31,100,10,0,8,50,-24,100,10,8.5,0.0,0,0,0.7,0.0,-7,-1,-274,-8,-1024,-271,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1495,1489,1363,1496,2012,1490,1501,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2025-04-27,14:19:52.390,-19,-31,100,10,0,8,50,-24,100,10,8.6,0.0,0,0,0.7,0.0,3,-3,-211,-3,-1024,-270,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1495,1490,1395,1501,2012,1489,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2025-04-27,14:19:52.890,-19,-31,100,10,0,8,50,-26,100,10,8.6,0.0,0,0,0.7,0.0,-1,-16,-191,-4,-1024,-271,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1495,1488,1405,1499,2012,1489,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2025-04-27,14:19:53.390,-19,-23,100,10,0,8,50,-24,100,10,8.6,0.0,0,0,0.9,0.1,30,-73,-188,-5,-1024,-271,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1495,1479,1406,1514,2012,1490,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2025-04-27,14:19:53.890,-19,-23,100,11,0,8,50,-30,100,9,8.5,0.0,0,0,0.9,0.1,46,-113,-140,-3,-1024,-270,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1495,1474,1430,1522,2012,1489,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2025-04-27,14:19:54.390,-24,-26,100,11,0,8,50,-27,100,10,8.5,0.0,0,0,0.9,0.1,14,-41,-52,-3,-1024,-271,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1495,1488,1474,1507,2012,1489,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2025-04-27,14:19:54.890,-24,-26,100,11,0,8,50,-25,100,10,8.5,0.0,0,0,1.1,0.0,4,-43,28,-4,-1024,-271,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1495,1489,1514,1501,2012,1489,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2025-04-27,14:19:55.390,-20,-26,100,10,0,8,50,-26,100,11,8.5,0.0,0,0,1.1,0.0,-6,-7,30,-8,-1024,-271,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1495,1495,1515,1497,2012,1490,1501,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2025-04-27,14:19:55.890,-20,-26,100,10,0,8,50,-33,100,9,8.5,0.0,0,0,1.1,0.0,-92,-16,197,-8,-1024,-271,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1495,1498,1598,1454,2012,1490,1501,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2025-04-27,14:19:56.390,-37,-36,100,10,1,8,50,-34,100,10,8.5,0.0,0,0,1.4,-0.1,-284,-8,517,-5,-1024,-271,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1495,1507,1758,1358,2012,1490,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
